domain,BL,DP,ABY,ACR,Dmoz,C,N,O,D,Reg,RDT,Traffic,Valuation,Price
www-380180.com,"5,299","1,843",2020,7,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-195kj.com,"11,201","1,843",2020,21,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-492013.com,"5,383","1,834",2019,10,-,registered,available,available,available,1,2,9,0 USD,50 USD
www-500tm.com,"5,221","1,832",2020,25,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-345266.com,"5,175","1,832",2020,15,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-84575.com,"9,388","1,828",2020,9,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-122100.com,"5,150","1,827",2019,10,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-5670321.com,"5,131","1,826",2020,21,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-249696.com,"4,895","1,824",2020,7,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-660gp.com,"5,257","1,821",2020,10,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-45544.com,"5,266","1,821",2020,9,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-2688f.com,"5,274","1,820",2020,7,-,registered,available,available,available,1,2,2,0 USD,50 USD
www488700a.com,"6,446","1,818",2020,6,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-669gp.com,"53,009","1,817",2020,16,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-800778.com,"5,179","1,816",2020,22,-,registered,available,available,available,1,2,2,76 USD,50 USD
480555Com.com,"5,390","1,809",2018,9,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-xg3939.com,"5,786","1,808",2019,26,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-526677.com,"5,236","1,807",2020,8,-,registered,available,available,available,1,2,7,0 USD,50 USD
www-kj368.com,"6,116","1,806",2020,6,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-007778.com,"5,201","1,806",2020,15,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-64414.com,"5,458","1,805",2020,8,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-6h888.com,"5,255","1,798",2020,8,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-14117.com,"5,346","1,797",2019,11,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-681223.com,"5,241","1,793",2020,7,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-767.com,"5,359","1,783",2020,19,-,registered,available,available,available,1,17,4,0 USD,50 USD
wwwkj1376.com,"5,895","1,782",2020,5,-,registered,available,available,available,1,2,2,0 USD,50 USD
wwwin112.com,"5,328","1,779",2020,18,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-491000.com,"5,287","1,779",2020,18,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-838567.com,"5,092","1,777",2020,7,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-456400.com,"11,349","1,776",2019,8,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-zl456456.com,"5,134","1,773",2020,7,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-73408.com,"5,260","1,768",2020,5,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-987788.com,"5,253","1,767",2020,16,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-6574d.com,"5,042","1,764",2020,5,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-39333.com,"5,258","1,763",2017,22,-,registered,available,available,available,1,4,2,0 USD,50 USD
www-702118a.com,"8,768","1,755",2020,6,-,registered,available,available,available,1,2,2,0 USD,50 USD
426666Com.com,"5,319","1,751",2017,19,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-6696kj.com,"8,637","1,732",2020,8,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-2600444.com,"5,186","1,726",2020,7,-,registered,available,available,available,1,2,9,0 USD,50 USD
www-867500.com,"4,436","1,621",2020,5,-,registered,available,available,available,1,2,0,0 USD,50 USD
www595455.com,"10,611","1,605",1996,32767,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-78309.com,"4,253","1,603",2020,6,-,registered,available,available,available,1,2,2,0 USD,50 USD
www355858bb.com,"4,331","1,580",2020,25,-,registered,available,available,available,1,2,2,0 USD,50 USD
11154Com.com,"4,233","1,576",2020,20,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-5888c.com,"4,428","1,564",2020,14,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-1366222.com,"4,063","1,520",2020,9,-,registered,available,available,available,1,2,2,0 USD,50 USD
788780Com.com,"4,403","1,513",2018,7,-,registered,available,available,available,1,2,4,0 USD,50 USD
AiAiCoco.com,"1,820","1,510",2013,27,-,registered,available,available,available,1,2,2,"1,101 USD",5 USD
www-xg9988.com,"4,334","1,506",2020,19,-,registered,available,available,available,1,2,2,0 USD,50 USD
80738Com.com,"4,061","1,484",2020,8,-,registered,available,available,available,1,2,4,0 USD,50 USD
www-72hk.com,"4,210","1,474",2020,4,-,registered,available,available,available,1,2,2,0 USD,50 USD
MeNitAs.com,"3,584","1,469",2004,26,-,registered,available,available,registered,2,7,0,"1,368 USD",5 USD
620555Com.com,"4,346","1,432",2018,15,-,registered,available,available,available,1,2,2,0 USD,50 USD
www-155955.com,"3,972","1,393",2020,8,-,registered,available,available,available,1,2,2,0 USD,50 USD
875999Com.com,"3,425","1,292",2020,6,-,registered,available,available,available,1,2,28,0 USD,50 USD
www-435665.com,"3,162","1,272",2020,13,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-755988.com,"3,295","1,226",2020,8,-,registered,available,available,available,1,2,0,0 USD,50 USD
www-991298.com,"1,077","1,183",2020,5,-,registered,available,available,available,1,2,4,0 USD,50 USD
tree3s.com,909,"1,165",2004,80,-,registered,available,available,available,1,3,0,"1,036 USD",30 USD
wafarin.com,"6,917","1,163",2018,20,-,registered,available,available,available,1,4,2,"1,233 USD",5 USD
ltgols.com,"10,616","1,155",2018,14,-,registered,available,available,available,1,2,2,0 USD,5 USD
47bm.net,551,"1,149",-,0,-,registered,registered,available,available,2,11,0,14 USD,11 USD
xjj5728.com,"16,200","1,125",2019,18,-,registered,available,available,available,1,2,0,0 USD,11 USD
mfw-ic.com,"4,743","1,124",2018,28,-,registered,available,available,available,1,2,2,0 USD,5 USD
ghszhy.com,"2,097","1,114",2015,32,-,registered,available,available,available,1,2,0,0 USD,5 USD
diaou2.com,"5,629","1,111",2018,17,-,registered,available,available,available,1,2,0,"1,050 USD",5 USD
a2h3.com,"1,437","1,110",2001,67,-,registered,available,available,registered,3,4,0,864 USD,5 USD
heimazha.com,"5,329","1,105",2018,16,-,registered,available,available,available,1,4,4,665 USD,5 USD
daiy04.com,"13,662","1,100",2014,33,-,registered,available,available,available,1,2,4,0 USD,5 USD
btc7000.com,"1,496","1,100",2018,15,-,registered,available,available,available,1,4,2,"1,168 USD",11 USD
das6666.com,"13,083","1,099",2017,19,-,registered,available,available,available,1,2,0,976 USD,5 USD
linjery.com,"7,848","1,097",2019,24,-,registered,available,available,available,1,2,0,"1,258 USD",50 USD
tsarily.com,"1,362","1,095",2013,23,-,registered,available,available,available,1,2,0,"1,138 USD",5 USD
skyraph.com,"3,283","1,090",2013,32,-,registered,available,available,available,1,2,0,"1,127 USD",50 USD
jextv.com,"4,248","1,089",2007,35,-,registered,registered,registered,available,5,7,22,"2,516 USD",50 USD
sdeahome.com,"5,454","1,088",2019,21,-,registered,available,available,available,1,3,0,"1,211 USD",50 USD
web-btc.com,"15,253","1,086",2013,43,-,registered,available,available,available,1,5,2,"1,030 USD",5 USD
a7z2.com,"13,507","1,082",2018,15,-,registered,available,available,available,1,4,2,423 USD,5 USD
a2y5.com,"5,016","1,082",2018,21,-,registered,available,available,available,1,4,0,"1,148 USD",5 USD
jintyt.com,"6,360","1,081",2020,15,-,registered,available,available,available,1,2,0,0 USD,5 USD
arlowery.com,"13,835","1,080",2018,22,-,registered,available,available,available,1,5,0,"1,068 USD",50 USD
miatags.com,"1,750","1,079",2013,28,-,registered,available,available,available,1,2,0,"1,138 USD",50 USD
uvwcbgm.com,"1,485","1,078",2018,18,-,registered,available,available,available,1,2,0,0 USD,5 USD
whmmq.com,"1,489","1,078",2016,23,-,registered,available,available,available,1,2,2,289 USD,11 USD
xjj9258.com,"4,218","1,077",2018,22,-,registered,available,available,available,1,2,0,0 USD,11 USD
innodw.com,"4,686","1,077",2008,20,-,registered,available,available,available,1,4,2,"1,250 USD",5 USD
xuehuays.com,"1,359","1,076",2018,17,-,registered,available,available,available,1,2,0,"1,598 USD",5 USD
dejiubao.com,"1,385","1,075",2018,19,-,registered,available,available,available,1,2,0,"1,395 USD",5 USD
rbsluk.com,"15,581","1,075",2016,21,-,registered,available,available,available,1,2,4,0 USD,11 USD
yangyuyi.com,"6,646","1,075",2018,21,-,registered,available,available,available,2,5,0,"1,404 USD",5 USD
socitv.com,"3,579","1,075",2012,26,-,registered,registered,available,available,4,4,9,"1,909 USD",5 USD
cbpbtv.com,"10,822","1,075",2009,50,-,registered,available,available,available,1,2,7,0 USD,50 USD
b4d9.com,"4,015","1,074",2018,17,-,registered,available,available,available,1,7,4,379 USD,5 USD
huiyiwow.com,"11,223","1,073",2008,20,-,registered,available,available,available,1,2,2,"1,201 USD",5 USD
xjj0961.com,"2,513","1,072",2020,17,-,registered,available,available,available,1,2,0,0 USD,11 USD
a9y9.com,"1,361","1,072",2017,22,-,registered,available,available,available,1,4,0,464 USD,5 USD
bmcp9988.com,"8,995","1,071",2018,16,-,registered,available,available,available,1,2,4,0 USD,40 USD
bmcp2333.com,"15,331","1,071",2018,18,-,registered,available,available,available,1,2,4,0 USD,40 USD
tecvion.com,"1,333","1,071",2012,36,-,registered,available,available,available,1,2,4,"1,258 USD",50 USD
zoqyhxw.com,"1,644","1,070",2018,20,-,registered,available,available,available,1,2,2,0 USD,40 USD
bmcp8822.com,"1,422","1,068",2018,21,-,registered,available,available,available,1,2,0,0 USD,40 USD
xjj4345.com,"9,998","1,067",2019,16,-,registered,available,available,available,1,2,0,0 USD,11 USD
urbazoo.com,"1,325","1,067",2011,28,-,registered,available,available,available,1,3,0,"1,240 USD",50 USD
ykzoeach.com,"7,774","1,066",2018,17,-,registered,available,available,available,1,2,0,0 USD,5 USD
xjj5350.com,"3,027","1,065",2019,25,-,registered,available,available,available,1,2,0,0 USD,11 USD
xjj3461.com,"1,488","1,065",2020,19,-,registered,available,available,available,1,2,0,0 USD,11 USD
bjxrzjd.com,"4,799","1,065",2017,21,-,registered,available,available,available,1,2,0,0 USD,5 USD
952tlbb.com,"1,321","1,064",2017,42,-,registered,available,available,available,1,2,0,0 USD,5 USD
liuhulu.com,"7,075","1,064",2010,19,-,registered,available,available,available,2,2,2,"1,600 USD",11 USD
xjj3335.com,"1,389","1,063",2020,18,-,registered,available,available,available,1,2,0,0 USD,11 USD
le9527.com,"1,392","1,063",2020,16,-,registered,available,available,available,1,5,0,0 USD,40 USD
52bulage.com,"8,546","1,063",2005,99,-,registered,available,available,available,1,2,9,0 USD,5 USD
JamMora.com,"2,802","1,062",2016,37,-,registered,available,available,available,1,2,0,"1,083 USD",50 USD
spludeng.com,"9,271","1,061",2020,14,-,registered,available,available,available,1,2,0,"1,039 USD",5 USD
yeakob.com,"5,698","1,060",2015,70,-,registered,available,available,available,1,2,2,"1,180 USD",5 USD
a9x7.com,"1,335","1,060",2018,19,-,registered,available,available,available,1,2,2,781 USD,5 USD
erdusa.com,"1,352","1,059",2013,32,-,registered,available,available,available,1,31,0,"1,310 USD",50 USD
xx5252.com,"7,309","1,059",2014,19,-,registered,available,available,available,1,2,0,0 USD,5 USD
houbyday.com,"15,640","1,059",2014,33,-,registered,available,available,available,1,2,0,773 USD,50 USD
xjj7320.com,"5,807","1,058",2018,18,-,registered,available,available,available,1,2,0,0 USD,11 USD
xjj1041.com,"6,771","1,058",2018,15,-,registered,available,available,available,1,2,0,0 USD,11 USD
enprosep.com,"8,172","1,058",2012,24,-,registered,available,available,available,1,2,4,797 USD,50 USD
yogeli.com,"4,651","1,057",2018,21,-,registered,available,available,available,1,9,9,"1,167 USD",5 USD
xjj3319.com,"6,840","1,057",2018,19,-,registered,available,available,available,1,2,0,0 USD,11 USD
nzhxflj.com,"9,931","1,057",2018,17,-,registered,available,available,available,1,2,4,0 USD,40 USD
wffdfg.com,"1,378","1,057",2018,18,-,registered,available,available,available,1,2,0,0 USD,5 USD
51tgcl.com,"1,344","1,057",2011,34,-,registered,available,available,available,1,2,2,0 USD,5 USD
ssmg520.com,"3,315","1,056",2018,18,-,registered,available,available,available,1,2,2,0 USD,40 USD
searchqr.com,"1,293","1,056",2018,21,-,registered,available,available,available,2,7,7,"1,602 USD",40 USD
a3x5.com,"13,561","1,056",2018,25,-,registered,available,available,available,4,5,2,808 USD,5 USD
wifiob.com,"8,237","1,055",2018,17,-,registered,available,available,available,1,7,2,"1,376 USD",5 USD
a9b6.com,"1,277","1,055",2018,19,-,registered,available,available,available,2,6,0,431 USD,5 USD
bmcp1555.com,"1,559","1,054",2018,21,-,registered,available,available,available,1,2,0,0 USD,40 USD
5akxs.com,"1,397","1,054",2016,28,-,registered,available,available,available,1,2,0,933 USD,5 USD
a3k6.com,"10,226","1,054",2018,19,-,registered,available,available,available,2,4,2,557 USD,5 USD
ugreynet.com,"6,993","1,053",2018,22,-,registered,available,available,available,1,2,0,678 USD,50 USD
gbxtbpy.com,"4,196","1,053",2018,19,-,registered,available,available,available,1,2,2,0 USD,5 USD
bmcp6611.com,"1,427","1,053",2018,19,-,registered,available,available,available,1,2,4,0 USD,40 USD
assetltc.com,"3,946","1,053",2013,29,-,registered,available,available,available,1,2,7,"1,374 USD",50 USD
yyf-cake.com,"24,607","1,052",2018,20,-,registered,available,available,available,1,2,0,0 USD,5 USD
luccxx.com,"1,511","1,052",2018,16,-,registered,available,available,available,1,2,0,0 USD,11 USD
spanixng.com,"26,166","1,051",2018,17,-,registered,available,available,available,1,2,4,0 USD,11 USD
sugarmew.com,"5,710","1,051",2016,44,-,registered,available,available,available,1,8,4,"1,205 USD",5 USD
b4m7.com,"2,036","1,051",2017,18,-,registered,available,available,available,1,3,2,353 USD,5 USD
vilung.com,"1,376","1,051",2005,29,-,registered,available,available,available,1,2,2,"1,320 USD",50 USD
bmcp3399.com,"9,927","1,050",2018,19,-,registered,available,available,available,1,2,0,0 USD,40 USD
MyRide65.com,"3,907","1,050",2011,37,-,registered,available,available,available,1,2,4,801 USD,50 USD
JimoClub.com,"1,333","1,050",2011,17,-,registered,available,available,available,1,2,2,"1,154 USD",5 USD
BagaSac.com,"1,333","1,050",2011,34,-,registered,available,available,available,2,3,4,"1,277 USD",50 USD
ruuude.com,"1,360","1,050",2007,24,-,registered,available,available,available,2,4,0,0 USD,50 USD
dqvtm.com,"1,859","1,049",2016,25,-,registered,available,available,available,1,2,4,"1,288 USD",5 USD
skstitch.com,"6,776","1,049",2011,25,-,registered,available,available,available,1,4,2,"1,234 USD",50 USD
tj-oa.com,"9,006","1,049",2011,25,-,registered,available,available,available,1,3,2,217 USD,5 USD
xjj9034.com,"1,391","1,048",2019,16,-,registered,available,available,available,1,2,0,0 USD,11 USD
xjj4100.com,"9,052","1,048",2020,15,-,registered,available,available,available,1,2,0,0 USD,11 USD
xjj2471.com,"1,294","1,048",2020,14,-,registered,available,available,available,1,2,0,0 USD,11 USD
teeweisi.com,"7,672","1,048",2018,18,-,registered,available,available,available,1,2,2,"1,114 USD",5 USD
longzwz.com,"1,521","1,048",2013,32,-,registered,available,available,available,1,2,0,948 USD,5 USD
ekuoreo.com,"7,942","1,048",2014,35,-,registered,available,available,available,1,2,2,"1,145 USD",50 USD
wuxihqgg.com,"10,636","1,048",2013,32,-,registered,available,available,available,1,2,4,0 USD,5 USD
newy0rk.com,"11,343","1,048",2001,37,-,registered,available,available,available,2,7,0,0 USD,50 USD
a6j8.com,"1,338","1,048",2018,19,-,registered,available,available,available,1,2,7,469 USD,5 USD
a6g2.com,"1,398","1,048",2017,19,-,registered,available,available,available,2,3,0,623 USD,5 USD
bmcp5522.com,"1,428","1,046",2018,20,-,registered,available,available,available,1,2,2,0 USD,40 USD
aivesd.com,"12,032","1,046",2017,46,-,registered,available,available,available,1,5,2,"1,101 USD",5 USD
18jhyg.com,"6,805","1,046",2018,23,-,registered,available,available,available,1,2,37,0 USD,11 USD
b4m9.com,"1,355","1,046",2017,21,-,registered,available,available,available,1,2,2,325 USD,5 USD
solwhizz.com,"6,186","1,044",2011,27,-,registered,available,available,available,1,2,0,"1,246 USD",50 USD
yxdzjd.com,"4,745","1,044",2016,23,-,registered,available,available,available,1,2,2,0 USD,5 USD
avivaorr.com,"10,878","1,044",2013,43,-,registered,available,available,available,1,3,7,912 USD,40 USD
xjj9189.com,"12,706","1,043",2019,18,-,registered,available,available,available,1,2,7,0 USD,11 USD
renfwhw.com,"6,720","1,043",2019,14,-,registered,available,available,available,1,2,0,0 USD,5 USD
1000ToDo.com,"8,909","1,043",2020,18,-,registered,available,available,available,1,2,0,"1,223 USD",50 USD
muzofos.com,"1,413","1,042",2016,98,-,registered,available,available,available,1,2,13,"1,060 USD",5 USD
cmueje.com,"4,621","1,042",2017,6,-,registered,available,available,available,1,2,0,0 USD,5 USD
qosjtjz.com,"1,462","1,041",2018,23,-,registered,available,available,available,1,2,4,0 USD,40 USD
petpiaza.com,"4,031","1,041",2018,21,-,registered,available,available,available,1,2,0,"1,209 USD",50 USD
tvfsigns.com,"9,398","1,040",2018,22,-,registered,available,available,available,1,2,2,"1,048 USD",50 USD
88haotao.com,"8,044","1,040",2020,17,-,registered,available,available,available,1,2,2,0 USD,5 USD
ezxtube.com,"1,378","1,040",2010,135,-,registered,available,available,available,1,2,9,"1,464 USD",40 USD
texcite.com,"9,636","1,040",2001,86,-,registered,available,available,available,2,54,0,"1,439 USD",50 USD
cmgt578.com,"3,026","1,039",2014,42,-,registered,available,available,available,1,2,0,0 USD,5 USD
arpeach.com,"1,351","1,039",2020,18,-,registered,available,available,available,1,22,4,"1,310 USD",5 USD
xjj5853.com,"4,622","1,038",2019,17,-,registered,available,available,available,1,2,0,0 USD,11 USD
xjj2234.com,"3,153","1,038",2020,18,-,registered,available,available,available,1,2,0,0 USD,11 USD
abeeride.com,"3,793","1,038",2018,18,-,registered,available,available,available,1,2,4,"1,313 USD",5 USD
suvgaraj.com,"5,303","1,038",2018,21,-,registered,registered,available,available,3,4,2,"1,483 USD",5 USD
re-tours.com,"12,684","1,038",2009,23,-,registered,available,available,registered,2,138,0,912 USD,5 USD
i2004.com,"5,790","1,038",2001,32,-,registered,available,available,available,1,141,2,"1,435 USD",5 USD
xjj0830.com,"4,764","1,037",2019,14,-,registered,available,available,available,1,2,2,0 USD,11 USD
gugmail.com,"6,469","1,037",2013,30,-,registered,available,available,registered,2,2,2,"1,433 USD",5 USD
hjntxuc.com,"15,126","1,036",2018,21,-,registered,available,available,available,1,2,2,0 USD,40 USD
LeadUniv.com,"9,118","1,036",2010,23,-,registered,available,available,available,1,11,0,"1,376 USD",50 USD
bmcp6111.com,"2,271","1,035",2018,16,-,registered,available,available,available,1,2,4,0 USD,40 USD
bmcp3388.com,"5,194","1,035",2018,20,-,registered,available,available,available,1,2,2,0 USD,40 USD
ecomface.com,"5,270","1,035",2013,60,-,registered,available,available,available,1,2,4,"1,330 USD",40 USD
csmstop.com,"14,128","1,034",2018,15,-,registered,available,available,available,1,2,4,"1,271 USD",11 USD
dindejt.com,"6,736","1,034",2018,19,-,registered,available,available,available,2,3,0,816 USD,50 USD
cptyre.com,"1,373","1,034",2011,30,-,registered,available,available,available,1,3,0,"1,198 USD",50 USD
wwwfh430.com,"5,295","1,033",2018,17,-,registered,available,available,available,1,2,0,0 USD,5 USD
mmmsfz.com,"1,466","1,033",2018,17,-,registered,available,available,available,1,2,4,0 USD,5 USD
xnfyxw.com,"14,554","1,033",2019,18,-,registered,available,available,available,1,2,0,0 USD,5 USD
quxiu267.com,"10,378","1,033",2018,16,-,registered,available,available,available,1,2,2,0 USD,5 USD
sorhk.com,"2,169","1,033",2013,25,-,registered,available,available,available,1,7,4,"1,280 USD",50 USD
EcoCarve.com,"1,300","1,033",2013,50,-,registered,available,available,available,4,4,2,"1,482 USD",50 USD
b2s4.com,"9,272","1,033",2009,24,-,registered,available,available,available,1,4,2,380 USD,5 USD
xjj2844.com,"5,722","1,032",2019,21,-,registered,available,available,available,1,2,0,0 USD,11 USD
qniu112.com,"13,103","1,032",2018,25,-,registered,available,available,available,1,2,2,0 USD,40 USD
bmcp9222.com,"6,063","1,032",2018,19,-,registered,available,available,available,1,2,2,0 USD,40 USD
bmcp9922.com,"5,842","1,031",2018,18,-,registered,available,available,available,1,2,0,0 USD,40 USD
smzsjy.com,"12,072","1,031",2012,23,-,registered,available,available,available,1,2,0,0 USD,5 USD
wowicc.com,"5,166","1,031",2018,30,-,registered,available,available,available,1,2,2,"1,304 USD",5 USD
epartpal.com,"1,105","1,031",2009,35,-,registered,available,available,available,1,2,4,636 USD,50 USD
prareach.com,"13,798","1,030",2019,18,-,registered,available,available,available,1,2,2,"1,368 USD",50 USD
exacrypt.com,"10,398","1,030",2016,20,-,registered,registered,available,available,2,6,2,"1,587 USD",50 USD
antybox.com,"7,538","1,030",2019,22,-,registered,available,available,available,1,16,2,"1,243 USD",50 USD
xjj7787.com,"10,334","1,029",2020,15,-,registered,available,available,available,1,2,2,0 USD,11 USD
uqeyzut.com,"7,167","1,029",2018,26,-,registered,available,available,available,1,2,2,0 USD,40 USD
junsanlm.com,"1,254","1,029",2018,20,-,registered,available,available,available,1,2,0,0 USD,5 USD
mbooali.com,"9,318","1,029",2013,39,-,registered,available,available,available,1,3,0,0 USD,50 USD
Had4Job.com,"1,237","1,029",2013,59,-,registered,available,available,available,1,2,2,0 USD,50 USD
EcoSwab.com,"7,603","1,029",2013,30,-,registered,available,available,available,1,3,2,"1,629 USD",50 USD
xjj6015.com,"8,187","1,028",2020,16,-,registered,available,available,available,1,2,0,0 USD,11 USD
xjj3891.com,"5,934","1,028",2019,21,-,registered,available,available,available,1,2,4,0 USD,11 USD
xjj2959.com,"28,359","1,028",2020,18,-,registered,available,available,available,1,2,0,0 USD,11 USD
s72f1056.com,"5,632","1,028",2020,17,-,registered,available,available,available,1,2,0,0 USD,11 USD
ayhxe.com,"8,244","1,028",2017,31,-,registered,available,available,available,1,2,2,"1,393 USD",5 USD
qvsmete.com,"1,301","1,028",2018,22,-,registered,available,available,available,1,2,0,884 USD,40 USD
dddlnf.com,"1,507","1,028",2006,106,-,registered,available,available,available,1,2,7,0 USD,40 USD
xjj2617.com,"18,008","1,027",2020,16,-,registered,available,available,available,1,2,0,0 USD,11 USD
sewqc.com,"1,375","1,027",2018,18,-,registered,available,available,available,1,2,0,"1,268 USD",5 USD
Hair17.com,"8,733","1,027",2018,21,-,registered,available,available,available,2,4,0,"1,161 USD",50 USD
Carib360.com,"6,567","1,027",2009,31,-,registered,available,available,available,1,2,0,"1,563 USD",50 USD
xjj1833.com,"10,556","1,026",2020,15,-,registered,available,available,available,1,2,2,0 USD,11 USD
RunaAnda.com,"1,323","1,026",2018,22,-,registered,available,available,available,1,3,0,976 USD,50 USD
bmcp6699.com,"1,267","1,026",2018,20,-,registered,available,available,available,1,2,2,0 USD,40 USD
mhcab.com,"10,706","1,026",2013,37,-,registered,available,available,available,2,11,7,"1,361 USD",11 USD
jxweimei.com,"11,810","1,026",2013,20,-,registered,available,available,available,1,2,0,"1,214 USD",5 USD
songluwp.com,"4,413","1,025",2020,14,-,registered,available,available,available,1,2,0,864 USD,5 USD
ybgaza.com,"3,354","1,025",2020,18,-,registered,available,available,available,1,2,0,0 USD,5 USD
kaiszo.com,"6,679","1,025",2018,22,-,registered,available,available,available,1,2,0,"1,236 USD",5 USD
a4z9.com,"1,309","1,025",2018,24,-,registered,available,available,available,2,3,2,"1,052 USD",5 USD
nbxmwz.com,"4,367","1,024",2018,17,-,registered,available,available,available,1,2,0,0 USD,5 USD
